=== Resultado Greedy | datasetXXXL.paed | Problema 1 (Maximizar valor) ===
Valor total: 263411.50
Tiempo total (min): 4982
Número de misiones seleccionadas: 36

Misiones seleccionadas (orden de la solución):
Destrueix els traïdors de Dignissimos bury | Asig: Electrònica | Data: 2025-11-23 | Temps: 34 | Dif: 10 | Prog: 0 | Pes: #FF8000 | Val: 1700,00 | Ratio: 50,00 | XY: (777,960)
Assegura els innocents de sea lionstad on ressonen crits d’esperits ancestrals | Asig: Value Chain | Data: 2026-05-21 | Temps: 58 | Dif: 10 | Prog: 0 | Pes: #FF8000 | Val: 2900,00 | Ratio: 50,00 | XY: (491,881)
Explora els boscos de woodchuckton en terres glaçades i inhòspites | Asig: Value Chain | Data: 2026-05-14 | Temps: 184 | Dif: 10 | Prog: 0 | Pes: #FF8000 | Val: 9200,00 | Ratio: 50,00 | XY: (927,342)
Domina la fortalesa de Myrholt | Asig: PIC1 | Data: 2026-02-08 | Temps: 194 | Dif: 10 | Prog: 0 | Pes: #FF8000 | Val: 9700,00 | Ratio: 50,00 | XY: (614,185)
Repara les coves de Myrholt side | Asig: SO | Data: 2025-11-28 | Temps: 51 | Dif: 10 | Prog: 0 | Pes: #FF8000 | Val: 2550,00 | Ratio: 50,00 | XY: (687,893)
Allibera la torre de vigilància de Valdor chester cobert per llegendes oblidades | Asig: PAED | Data: 2026-05-21 | Temps: 52 | Dif: 10 | Prog: 0 | Pes: #FF8000 | Val: 2600,00 | Ratio: 50,00 | XY: (486,879)
Recupera l'artefacte la fortalesa de Myrwyn a la vora d’un mar embravit | Asig: Àlgebra | Data: 2025-10-13 | Temps: 143 | Dif: 10 | Prog: 0 | Pes: #FF8000 | Val: 7150,00 | Ratio: 50,00 | XY: (754,169)
Afronta el mal la dimensió de ravenstad | Asig: COMPUS | Data: 2025-12-14 | Temps: 266 | Dif: 10 | Prog: 0 | Pes: #FF8000 | Val: 13300,00 | Ratio: 50,00 | XY: (982,929)
Evita el cercle màgic de Laborum ville | Asig: SOA | Data: 2026-02-27 | Temps: 54 | Dif: 10 | Prog: 0 | Pes: #FF8000 | Val: 2700,00 | Ratio: 50,00 | XY: (557,470)
Descobreix els carrers de platypusberg | Asig: MS2 | Data: 2025-10-17 | Temps: 80 | Dif: 10 | Prog: 0 | Pes: #FF8000 | Val: 4000,00 | Ratio: 50,00 | XY: (682,600)
Assalta els traïdors de Expedita port | Asig: DIU | Data: 2026-05-25 | Temps: 177 | Dif: 10 | Prog: 0 | Pes: #FF8000 | Val: 8850,00 | Ratio: 50,00 | XY: (897,306)
Allibera els habitants de Ex | Asig: SOA | Data: 2026-06-01 | Temps: 189 | Dif: 10 | Prog: 0 | Pes: #FF8000 | Val: 9450,00 | Ratio: 50,00 | XY: (803,449)
Captura la bandera el portal de cattleborough | Asig: IO | Data: 2025-10-08 | Temps: 149 | Dif: 10 | Prog: 0 | Pes: #FF8000 | Val: 7450,00 | Ratio: 50,00 | XY: (292,495)
Cerca les mines de Norcrest fort sota les profunditats del desert | Asig: WEB1 | Data: 2026-07-09 | Temps: 213 | Dif: 10 | Prog: 0 | Pes: #FF8000 | Val: 10650,00 | Ratio: 50,00 | XY: (625,719)
Saboteja els dimonis de Myrgarde borough sota la influència d’un encanteri | Asig: ASO | Data: 2026-04-15 | Temps: 229 | Dif: 10 | Prog: 0 | Pes: #FF8000 | Val: 11450,00 | Ratio: 50,00 | XY: (103,861)
Explora els carrers de Totam | Asig: PrPr1 | Data: 2026-05-05 | Temps: 127 | Dif: 10 | Prog: 0 | Pes: #FF8000 | Val: 6350,00 | Ratio: 50,00 | XY: (318,362)
Domina el cercle màgic de Et | Asig: Càlcul | Data: 2025-12-04 | Temps: 223 | Dif: 10 | Prog: 0 | Pes: #FF8000 | Val: 11150,00 | Ratio: 50,00 | XY: (87,789)
Defensa la ciutat de Vitae shire | Asig: PAED | Data: 2026-05-22 | Temps: 77 | Dif: 10 | Prog: 0 | Pes: #FF8000 | Val: 3850,00 | Ratio: 50,00 | XY: (840,742)
Rescata el santuari de macawmouth | Asig: DIU | Data: 2025-10-11 | Temps: 255 | Dif: 10 | Prog: 0 | Pes: #FF8000 | Val: 12750,00 | Ratio: 50,00 | XY: (88,688)
Investiga les muntanyes de chinchillatown al cor d’un bosc encantat | Asig: IO | Data: 2026-01-22 | Temps: 190 | Dif: 10 | Prog: 0 | Pes: #FF8000 | Val: 9500,00 | Ratio: 50,00 | XY: (309,291)
Conquista el cercle màgic de mallardside | Asig: Àlgebra | Data: 2026-06-04 | Temps: 37 | Dif: 10 | Prog: 0 | Pes: #FF8000 | Val: 1850,00 | Ratio: 50,00 | XY: (322,431)
Descobreix els camps de batalla de Fenholt land | Asig: DIU | Data: 2026-07-29 | Temps: 253 | Dif: 10 | Prog: 0 | Pes: #FF8000 | Val: 12650,00 | Ratio: 50,00 | XY: (925,577)
Saboteja les bèsties de hippopotamuschester maleït des de temps immemorials | Asig: BBDD | Data: 2025-12-15 | Temps: 77 | Dif: 10 | Prog: 1 | Pes: #FF8000 | Val: 3811,50 | Ratio: 49,50 | XY: (8,421)
